Date,adjusted first dose,adjusted second dose,adjusted third dose,adjusted fourth dose,adjusted tests,Entry,Exit,Infection0.2,Infection0.5,infection1.0,normal speed,student speed,death rate
11-Nov-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
12-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
13-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
14-Nov-20,0,0,0,0,4,3,1,0.2,0.15,0.1,100,100,120
15-Nov-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
16-Nov-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
17-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
18-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
19-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
20-Nov-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
21-Nov-20,0,0,0,0,4,3,1,0.2,0.15,0.1,100,100,120
22-Nov-20,0,0,0,0,2,3,1,0.2,0.15,0.1,100,100,120
23-Nov-20,0,0,0,0,2,3,1,0.2,0.15,0.1,100,100,120
24-Nov-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
25-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
26-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
27-Nov-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
28-Nov-20,0,0,0,0,4,3,1,0.2,0.15,0.1,100,100,120
29-Nov-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
30-Nov-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
1-Dec-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
2-Dec-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
3-Dec-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
4-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
5-Dec-20,0,0,0,0,4,3,1,0.2,0.15,0.1,100,100,120
6-Dec-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
7-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
8-Dec-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
9-Dec-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
10-Dec-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
11-Dec-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
12-Dec-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
13-Dec-20,0,0,0,0,2,3,1,0.2,0.15,0.1,100,100,120
14-Dec-20,0,0,0,0,10,3,1,0.2,0.15,0.1,100,100,120
15-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
16-Dec-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
17-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
18-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
19-Dec-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
20-Dec-20,0,0,0,0,2,3,1,0.2,0.15,0.1,100,100,120
21-Dec-20,0,0,0,0,12,3,1,0.2,0.15,0.1,100,100,120
22-Dec-20,0,0,0,0,10,3,1,0.2,0.15,0.1,100,100,120
23-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
24-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
25-Dec-20,0,0,0,0,9,3,1,0.2,0.15,0.1,100,100,120
26-Dec-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,150,120
27-Dec-20,0,0,0,0,2,3,1,0.2,0.15,0.1,100,150,120
28-Dec-20,0,0,0,0,12,2,1,0.2,0.15,0.1,100,150,120
29-Dec-20,0,0,0,0,8,2,2,0.2,0.15,0.1,100,150,120
30-Dec-20,0,0,0,0,6,2,2,0.2,0.15,0.1,100,150,120
31-Dec-20,0,0,0,0,5,2,2,0.2,0.15,0.1,100,150,120
1-Jan-21,0,0,0,0,4,2,2,0.2,0.15,0.1,100,150,120
2-Jan-21,0,0,0,0,6,2,2,0.2,0.15,0.1,100,150,120
